season,yr,mnth,hr,holiday,weekday,workingday,weathersit,atemp,hum,windspeed,cnt,time_period,hr_sin,hr_cos,mnth_sin,mnth_cos,wek_sin,wek_cos,seas_sin,seas_cos,hr_workingday,temp_hum,season_hr,cnt_log,cluster,cluster_label
1,0,1,0,0,6,0,1,0.2879,0.81,0.0,16,1,0.0,1.0,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.0547009999999999,0,2.833213344056216,2,低活跃型
1,0,1,1,0,6,0,1,0.2727,0.8,0.0,40,1,0.2588190451025207,0.9659258262890684,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.0545399999999999,1,3.713572066704308,2,低活跃型
1,0,1,2,0,6,0,1,0.2727,0.8,0.0,32,1,0.4999999999999999,0.8660254037844387,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.0545399999999999,2,3.49650756146648,2,低活跃型
1,0,1,3,0,6,0,1,0.2879,0.75,0.0,13,1,0.7071067811865475,0.7071067811865476,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.071975,3,2.639057329615259,2,低活跃型
1,0,1,4,0,6,0,1,0.2879,0.75,0.0,1,1,0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.071975,4,0.6931471805599453,2,低活跃型
1,0,1,5,0,6,0,2,0.2576,0.75,0.0896,1,1,0.9659258262890684,0.2588190451025207,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.0644,5,0.6931471805599453,2,低活跃型
1,0,1,6,0,6,0,1,0.2727,0.8,0.0,2,1,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.0545399999999999,6,1.0986122886681096,2,低活跃型
1,0,1,7,0,6,0,1,0.2576,0.86,0.0,3,2,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.036064,7,1.3862943611198906,2,低活跃型
1,0,1,8,0,6,0,1,0.2879,0.75,0.0,8,2,0.8660254037844387,-0.4999999999999998,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.071975,8,2.19722457733622,2,低活跃型
1,0,1,9,0,6,0,1,0.3485,0.76,0.0,14,2,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.0836399999999999,9,2.70805020110221,2,低活跃型
1,0,1,10,0,6,0,1,0.3939,0.76,0.2537,36,3,0.4999999999999999,-0.8660254037844387,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.094536,10,3.610917912644224,2,低活跃型
1,0,1,11,0,6,0,1,0.3333,0.81,0.2836,56,3,0.258819045102521,-0.9659258262890682,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.0633269999999999,11,4.04305126783455,2,低活跃型
1,0,1,12,0,6,0,1,0.4242,0.77,0.2836,84,3,1.2246467991473532e-16,-1.0,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.097566,12,4.442651256490317,2,低活跃型
1,0,1,13,0,6,0,2,0.4545,0.72,0.2985,94,3,-0.2588190451025208,-0.9659258262890684,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.12726,13,4.553876891600541,2,低活跃型
1,0,1,14,0,6,0,2,0.4545,0.72,0.2836,106,3,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.12726,14,4.672828834461906,2,低活跃型
1,0,1,15,0,6,0,2,0.4394,0.77,0.2985,110,3,-0.7071067811865471,-0.7071067811865479,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.101062,15,4.709530201312334,2,低活跃型
1,0,1,16,0,6,0,2,0.4242,0.82,0.2985,93,3,-0.8660254037844384,-0.5000000000000004,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.076356,16,4.543294782270004,2,低活跃型
1,0,1,17,0,6,0,2,0.4394,0.82,0.2836,67,4,-0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.079092,17,4.219507705176107,2,低活跃型
1,0,1,18,0,6,0,3,0.4242,0.88,0.2537,35,4,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.050904,18,3.58351893845611,2,低活跃型
1,0,1,19,0,6,0,3,0.4242,0.88,0.2537,37,4,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.050904,19,3.6375861597263857,2,低活跃型
1,0,1,20,0,6,0,2,0.4091,0.87,0.2537,36,5,-0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.053183,20,3.610917912644224,2,低活跃型
1,0,1,21,0,6,0,2,0.4091,0.87,0.194,34,5,-0.7071067811865477,0.7071067811865474,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.053183,21,3.555348061489413,2,低活跃型
1,0,1,22,0,6,0,2,0.4091,0.94,0.2239,28,5,-0.5000000000000004,0.8660254037844384,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.024546,22,3.367295829986474,2,低活跃型
1,0,1,23,0,6,0,2,0.4545,0.88,0.2985,39,5,-0.2588190451025215,0.965925826289068,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0.05454,23,3.688879454113936,2,低活跃型
