PC1,PC2,cluster,cluster_label
-2.030936168040402,-1.3902648167612188,2,低活跃型
-2.0559594278528035,-1.4227139150928232,2,低活跃型
-2.0187879027842532,-1.4531893789380934,2,低活跃型
-1.9194215928347516,-1.4816912082970293,2,低活跃型
-1.8822500677662015,-1.5121666721422995,2,低活跃型
-2.3218682612998474,-0.5202406304894436,2,低活跃型
-1.8701018025100526,-1.575091234319174,2,低活跃型
-1.8947158861061322,-1.607527348213368,2,低活跃型
-1.7335639674920005,-1.6340685275233804,2,低活跃型
-1.4484316553322876,-1.6566754222981348,2,低活跃型
-1.2254941280535263,-1.6812559515592234,2,低活跃型
-1.4362833900761387,-1.7195999844750096,2,低活跃型
-1.0271706843708444,-1.7382725947145061,2,低活跃型
-1.2188280908133278,-0.7384779839911343,2,低活跃型
-1.1816565657447777,-0.7689534478364045,2,低活跃型
-1.206270649340857,-0.8013895617305986,2,低活跃型
-1.2312939091532584,-0.8338386600622029,2,低活跃型
-1.1319275992037565,-0.8623404894211391,2,低活跃型
-1.509760184072773,0.13154620228064118,2,低活跃型
-1.4725886590042228,0.10107073843537097,2,低活跃型
-1.1443934175436872,-0.9577011654922076,2,低活跃型
-1.107221892475137,-0.9881766293374779,2,低活跃型
-1.0700503674065867,-1.018652093182748,2,低活跃型
-0.8471128401278254,-1.0432326224438364,2,低活跃型
-1.702057916704481,-0.3422969540026213,2,低活跃型
-1.7266720003005602,-0.37473306789681543,2,低活跃型
-1.7516952601129616,-0.40718216622841963,2,低活跃型
-1.5905433414988301,-0.43372334553843184,2,低活跃型
-1.55337181643028,-0.46419880938370206,2,低活跃型
-1.955818484895376,0.4972517684238841,2,低活跃型
-1.6276232434348403,-0.5615201355036945,2,低活跃型
-1.9432610434229052,0.43434019068441976,2,低活跃型
-1.6154749781786917,-0.624444697680569,2,低活跃型
-1.7640694553203524,-0.660815096110021,2,低活跃型
-1.7890927151327538,-0.6932641944416255,2,低活跃型
-1.7519211900642035,-0.7237396582868957,2,低活跃型
-1.6525548801147016,-0.7522414876458319,2,低活跃型
-1.9681926801027667,0.2436188385422824,2,低活跃型
-1.993215939915168,0.2111697402106782,2,低活跃型
-1.9560444148466178,0.18069427636540797,2,低活跃型
-1.2132542396648374,-1.902452767546631,2,低活跃型
-1.5288920396529022,-0.906592441358517,2,低活跃型
-1.324677191737948,-1.969298629821353,2,低活跃型
-1.3497004515503495,-2.0017477281529574,2,低活跃型
-1.4982949286920102,-2.0381181265824093,2,低活跃型
-1.5233181885044116,-2.0705672249140137,2,低活跃型
-1.4239518785549097,-2.0990690542729498,2,低活跃型
-2.1856243496201024,0.1020931586585149,2,低活跃型
-2.2724332180971336,0.06768341027798677,2,低活跃型
-2.2848990364370647,-0.027677265793081777,2,低活跃型
-2.2477275113685145,-0.058152729638352,2,低活跃型
-2.3345363798455456,-0.09256247801888011,2,低活跃型
-2.173384461231414,-0.11910365732889246,2,低活跃型
-2.1984077210438153,-0.15155275566049667,2,低活跃型
-2.0990414110943134,-0.1800545850194329,2,低活跃型
-1.937889492480182,-0.20659576432944524,2,低活跃型
-1.8389323587470021,-0.23511057812579153,2,低活跃型
-1.6777804401328702,-0.2616517574358039,2,低活跃型
-1.64060891506432,-0.29212722128107405,2,低活跃型
-1.4794569964501882,-0.31866840059108636,2,低活跃型
-1.4422854713816382,-0.3491438644363566,2,低活跃型
-1.405113946313088,-0.3796193282816268,2,低活跃型
-1.4297280299091673,-0.412055442175821,2,低活跃型
-1.2685761112950358,-0.4385966214858333,2,低活跃型
-1.2314045862264855,-0.4690720853311035,2,低活跃型
-1.3182134547035167,-0.5034818337116316,2,低活跃型
-1.4050223231805476,-0.5378915820921597,2,低活跃型
-1.554025976538531,-0.5742749649590219,2,低活跃型
-1.2688936643788176,-0.5968818597337763,2,低活跃型
-2.2478191345010545,0.1001195241721809,2,低活跃型
-2.2106476094325043,0.06964406032691067,2,低活跃型
-2.297456477909535,0.03523431194638256,2,低活跃型
-2.0991330342268535,-0.02178233120889999,2,低活跃型
-2.1859419027038847,-0.0561920795894281,2,低活跃型
-2.1487703776353344,-0.08666754343469832,2,低活跃型
-2.111598852566784,-0.11714300727996856,2,低活跃型
-2.074427327498234,-0.14761847112523876,2,低活跃型
-2.0372558024296836,-0.178093934970509,2,低活跃型
-2.4146792110823783,0.8158057411686812,2,低活跃型
-1.7149519652014205,-0.23117629359053363,2,低活跃型
-1.6155856552519186,-0.25967812294946985,2,低活跃型
-1.5784141301833683,-0.29015358679474007,2,低活跃型
-1.4172622115692366,-0.3166947661047524,2,低活跃型
-1.3183050778360568,-0.34520957990109874,2,低活跃型
-1.2189387678865549,-0.37371140926003493,2,低活跃型
-1.2439620276989563,-0.40616050759163924,2,低活跃型
-1.2685761112950358,-0.4385966214858333,2,低活跃型
-1.2314045862264855,-0.4690720853311035,2,低活跃型
-1.1942330611579353,-0.49954754917637373,2,低活跃型
-1.0952759274247554,-0.52806236297272,2,低活跃型
-1.1198900110208347,-0.5604984768669142,2,低活跃型
-1.206698879497866,-0.5949082252474422,2,低活跃型
-1.93766356252894,0.10996172772903068,2,低活跃型
-2.148452824551552,0.07161769481324468,2,低活跃型
-2.111281299483002,0.04114223096797445,2,低活跃型
-1.9129578558003204,-0.0158744121873081,2,低活跃型
-1.8757863307317701,-0.04634987603257833,2,低活跃型
-1.9625951992088013,-0.08075962441310644,2,低活跃型
-1.987618459021203,-0.11320872274471067,2,低活跃型
-1.9504469339526527,-0.1436841865899809,2,低活跃型
-1.8510806240031505,-0.1721860159489171,2,低活跃型
-1.8139090989346003,-0.20266147979418733,2,低活跃型
-1.6527571803204688,-0.22920265910419965,2,低活跃型
-1.6155856552519186,-0.25967812294946985,2,低活跃型
